ID,NAME,POP 2010,LATITUDE,LONGITUDE
1,Frederiksted,-999,17.7124746,-64.8815352
2,Christiansted,-999,17.7466397,-64.7031977
3,Central Aguirre,1301,17.9535782,-66.222945
4,Jobos,2479,17.9552449,-66.1654442
5,Arroyo,6396,17.9658005,-66.0612756
6,Santa Isabel,5976,17.9660775,-66.404892
7,Jauca,1529,17.9691331,-66.3657246
8,Gu_nica,7254,17.971633,-66.9079537
9,Coqu_,3293,17.9741328,-66.2271118
10,Pole Ojea,1695,17.9749646,-67.1851793
11,La Parguera,1044,17.9749654,-67.0465664
12,Salinas,4771,17.9774659,-66.297946
13,El Combate,423,17.9782977,-67.2121242
14,Mar_a Antonia,1285,17.9787449,-66.888664
15,Lamboglia,1050,17.9813556,-65.9857188
16,Guayama,22691,17.9841328,-66.1137767
17,Las Ochenta,951,17.984688,-66.3179461
18,Playita Cortada,1731,17.9849653,-66.4390594
19,Palmas,2230,17.9871886,-66.0254417
20,Fuig,1110,17.9877435,-66.9160095
21,Potala Pastillo,3092,17.9913537,-66.4965608
22,Coraz_n,2131,17.9927436,-66.0848873
23,Indios,1484,17.9941326,-66.8193421
24,Tallaboa,925,17.9949661,-66.7162855
25,Buena Vista,1660,17.9963547,-66.0518311
26,Parcelas Pe_uelas,941,17.9988539,-66.3412797
27,Emajagua,2857,18.0005224,-65.8826621
28,Olimpo,2064,18.0019099,-66.1082211
29,El Ojo,1478,18.0038537,-66.3915585
30,El Tumbao,2511,18.004965,-66.8998984
31,Patillas,4333,18.0063544,-66.0157194
32,Coco,5758,18.0071869,-66.2593344
33,Maunabo,1668,18.0071885,-65.8993289
34,Palo Seco,1008,18.0074659,-65.9368293
35,Calzada,191,18.0082987,-66.5668388
36,Maguayo,903,18.0102415,-67.0835115
37,Ponce,132502,18.0110768,-66.6140616
38,Palomas,1936,18.013576,-66.8732316
39,Magas Arriba,1215,18.0174648,-66.7690639
40,Guayanilla,3949,18.0191314,-66.791842
41,Mariano Col_n,2240,18.0232974,-66.3323909
42,Aguilita,4747,18.0232976,-66.5346166
43,Boquer_n,2023,18.0269067,-67.169068
44,Yaurel,1050,18.026909,-66.0571092
45,Betances,876,18.0285736,-67.1349009
46,Pueblito del Carmen,572,18.031545,-66.1655767
47,Las Ollas,1557,18.0330192,-66.4243372
48,Piedra Aguza,2901,18.0338531,-66.4949382
49,Yauco,17186,18.034964,-66.8498983
50,El Negro,1075,18.0374654,-65.8512729
51,Quebrada del Agua,1325,18.0379017,-66.6845708
52,R_o Ca_as Abajo,1038,18.0382968,-66.4676716
53,Lluveras,1733,18.0382969,-66.9046209
54,Liborio Negr_n Torres,1112,18.0430954,-66.9428012
55,Playita,1558,18.0446869,-65.9073847
56,La Plena,865,18.0466298,-66.2046116
57,Coto Laurel,3047,18.0496857,-66.5512835
58,Lajas,4586,18.049962,-67.059345
59,Yabucoa,6047,18.0505201,-65.8793288
60,Tallaboa Alta,1816,18.0510743,-66.7001742
61,Vayas,528,18.0521858,-66.5840615
62,Juana D_az,7916,18.0524629,-66.5065611
63,Los Llanos,2118,18.0552406,-66.4057259
64,Pe_uelas,5859,18.0563518,-66.7215633
65,Luis Llor_ns Torres,2912,18.0565439,-66.526735
66,Rosa S_nchez,1055,18.0597925,-65.909286
67,Santo Domingo,3156,18.063296,-66.7523972
68,El Paraiso,1716,18.0648412,-66.602092
69,Cerrillos Hoyos,748,18.0654893,-66.5690549
70,V_zquez,1890,18.0657957,-66.238501
71,Palmarejo,1090,18.0680177,-66.3254467
72,La Yuca,665,18.0727343,-66.607733
73,Puerto Real,5983,18.0749601,-67.1871243
74,Martorell,2232,18.0760744,-65.898218
75,Sabana Grande,8179,18.0777392,-66.9604549
76,Coamo,11522,18.0799617,-66.3579473
77,Corral Viejo,260,18.0799621,-66.6529511
78,Parcelas Mandry,571,18.0810426,-66.5627014
79,Guayabal,2036,18.0813507,-66.5012833
80,San Germ_n,10989,18.0816273,-67.0449008
81,Palmas del Mar,2055,18.0819088,-65.797939
82,Sabana Eneas,1576,18.0860714,-67.0810122
83,Cabo Rojo,9803,18.0866265,-67.1457347
84,Comunas,1900,18.0871855,-65.8437732
85,Monte Grande,2800,18.08746,-67.1074013
86,Tibes,362,18.0907636,-66.6323842
87,Candelero Abajo,598,18.0941674,-65.8164561
88,Esperanza,1219,18.0971868,-65.4707144
89,Monte Verde,137,18.0971876,-66.6195866
90,Candelero Arriba,1215,18.1019071,-65.8368288
91,Cayey,16680,18.1119051,-66.166
92,Buena Vista,1134,18.115518,-65.7982173
93,Pastos,1514,18.117738,-66.2587793
94,G. L. Garc_a,1751,18.125902,-66.1026079
95,Villalba,3384,18.1271824,-66.4921164
96,Anon Raices,287,18.1391575,-66.5865124
97,Hormigueros,12443,18.1396799,-67.1274019
98,Aibonito,8249,18.1399594,-66.2660016
99,Parcelas Nuevas,1579,18.1402372,-66.1723891
100,Vieques,1938,18.1474625,-65.4448811
101,Humacao,18629,18.1496828,-65.8273847
102,Bajandas,1309,18.1577384,-65.7815509
103,Jagual,1062,18.1616255,-65.9954419
104,Adjuntas,4406,18.1627363,-66.7221187
105,Punta Santiago,4964,18.1663493,-65.7482172
